id,source,content,type
26,https://www.facebook.com/DiarioMovilOK/posts/pfbid0UMEAtkZBYySZLkho8T8YkrxfAA8dssgrRjaDGpRFs8RsLJXw4XxxSL8iyEFrnsLel,"LA VICEPRESIDENTA SOBRE EL FMI 🇦🇷✌️🇦🇷
Cristina Fernández de Kirchner reconoció hoy que el gran problema de la Argentina es su relación y dependencia con el FMI. En ese sentido, la vice aseguró que esta situación ""nos va a llevar a la ruina a los argentinos"". ¿VOS QUÉ OPINÁS?",Política
27,https://www.facebook.com/diariodecuyoweb/posts/pfbid02VPjGw3RGGxjLdJDSsNiHTx19zFUxuU7ch1QEKQuHrvcr4AfPJqW33NXV8R7uPKpVl,"[SAN JUAN]
Al sujeto lo condenaron a un año de prisión condicional.",Seguridad
28,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid0uzfnh63bwi7FquAnSPh4LzxYW1M9UKfyTKhxY7oUwy4bDmDAUv8qB58LFeXMcxYCl,"Con más de 200 locales, Chimbas estrenó la primera etapa de un importante polo comercial

El espacio a cielo abierto, que inauguró su primera fase este jueves, tendrá más de 2,2 kilómetros de recorrido.",Economía
30,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid04PrgHeTUfxgZe4ij6G3JWFumze7c4rVGoZwdJMZBbMTYhNe75Vwjw64Ept3RtVeXl,"La última provocación de Alberto Fernández a Cristina Kirchner: Mirá quiénes serían candidatos a diputados nacionales
El PJ bonaerense aceptó que los perdedores en la PASO tengan puestos expectantes en la lista de diputados nacionales de Buenos Aires, comenzando con el 4. Dos ""innombrables"" del kirchnerismo podrían ocupar esos lugares.",Política
31,https://www.facebook.com/DiarioHuarpe/posts/pfbid025K3LotUTX2jo4tca5utvtmCePR5ntweTnZ2XHLrKQCckgKFEir927Ya8gevFRRWZl,"Tras girar por varios países del mundo, el artista se presentará en el estadio Aldo Cantoni. Mirá en qué fecha.",Entretenimiento
32,https://www.facebook.com/LaPoliticaSJ/posts/pfbid02aBfnAqDgyY3zCyXsPtNeN2Mu864nVv8kW1ws54SMjs2QqRRDTrSXbzAhkvk8ky5Ql,"La inflación golpea fuerte a los bolsillos de los argentinos. En San Juan, las familias necesitaron alrededor de $120.000 solamenta para alimentarse.",Economía
33,https://www.facebook.com/canal13sanjuantv/posts/pfbid0pyQWkaAfz16xcvrWdJii1Ccon1mCLXVF9V3TJafoMR1v3soes1kr6jqeBBrcWBqMl,"El Ministerio de Turismo y Cultura provincial, difundieron las siguientes actividades para los próximos días. #canal13 #sanjuan",Economía
34,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid0XzsrCksWZvpfAWBKdJ1oAqwK8z282K2r4QN59ddXCBfSUoJHLE1zkPgj9ZDkLvtLl,"https://www.tiempodesanjuan.com/personajes-sanjuaninos/titan-uno-los-primeros-streamers-san-juan-n351831

Titán, uno de los primeros streamers de San Juan

Fue uno de los que abrió la puerta a los sanjuaninos a este mundo virtual.",Notas de interés
35,https://www.facebook.com/DiarioMovilOK/posts/pfbid02FVed1v5e91DNovTVB3HHjWbaYeUrqsQmKRphK3wpGLR1jmWDEqPgnercX213YMYil,"EMOCIONANTE HISTORIA DE ADOPCIÓN 🤗💘
Florencia adoptó a Sandra, de 14 años, una joven con Síndrome de Down que fue abandonada por sus padres. “Fue amor a primera vista”, afirmó la mamá, quien comentó su historia para motivar a adoptar sin rótulos ni etiquetas. ¡FAMILIA FELIZ!",Notas de interés
36,https://www.facebook.com/diariodecuyoweb/posts/pfbid0ZwUNSUN3szt9r3Wu9pYfqc8X15uGgtAcPJBYxPF33UvE1KMRt5o9KKLZD7wMZ3Gnl,"[A UN CLUB ALEMÁN]
También ya se mostraron interesados otros equipos de Italia. River lo declaró intransferible.",Deportes
37,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02sPrDZyrgSDbzpczCRBpa7nYGu2VBg11EKjFbenbPzR9xkn9xMTwnE7DgtQfKwVc5l,"Violó a su hijastra hace más de una década en Pocito y ahora lo condenaron a 9 años de cárcel

El sujeto acordó un juicio abreviado y lo condenaron a prisión. La víctima, quien hoy es mayor edad, tenía 12 años cuando fue violada por este hombre.",Seguridad
38,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid0oK5nZ48YzxxUQnQZHaRpqk9Wv3PLCaB8ezAKENEdZyKr3vGcuVLeWhfDCizUqNt9l,"CANDIDATO A SENADOR POR MILEI EN SAN JUAN: ¿TURCUMÁN, PELUC, O UNA SORPRESA EXPLOSIVA? 

El frente La Libertad Avanza se reacomoda de cara a las PASO nacionales y barajan todas las posibilidades.",Política
39,https://www.facebook.com/canal13sanjuantv/posts/pfbid02jkM7SBX2AU5r2ndfu4bJpvvDMddLj2gPNKR4D7qwHZpFvnMYkoSz83VcZY916CoXl,"Durante su niñez, acompañó al actor Guillermo Francella en ""Brigada Cola"", luego se destacó en las artes marciales y se casará con una sanjuanina. #canal13 #sanjuan",Notas de interés
40,https://www.facebook.com/DiarioMovilOK/posts/pfbid0356GCzBumJdH3fs24R7BQvdDLojm8j6C367Qd9ANhneSrTPXhPN8tUKq1rU7J5d6tl,"TREMENDA HELADA EN BARREAL ❄️😮❄️
Tan extremas son las bajas temperaturas que se registran en la localidad calingastina, que el agua no tarda en congelarse. El video sorprendió a los sanjuaninos en medio del frío. ¡QUE FRÍOOOO!",Clima y fenómenos naturales
41,https://www.facebook.com/DiarioHuarpe/posts/pfbid023GSSX2UK9PDJkSU13zuqe7MLwotVHkRVXKPhbPAeG6MNo1NF6QRVykw9P2ZCW4fjl,La elección en UDA se realizará este viernes desde las 9 hasta las 18. Por primera vez la conducción del gremio estará en manos de una mujer.,Educación
42,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid0BH28SQ1js5LMxFaUhHWJApRjLF3qEKVBgReCUT5GTgbs6sBNZMmg6wMYq8qmnrNGl,"Tras separarse de la modelo Débora Bello, Diego Torres volvió a encontrar el amor en una mujer impactante.",Entretenimiento
43,https://www.facebook.com/LaPoliticaSJ/posts/pfbid02H6ogYnsQ3JsuM2oq55jty8Cwz3GhKDSiJvwBJ4wfychxgPsLrrFDyDGZ238h6ZKfl,La medida del Gobierno surge para que los trabajadores no pierdan ningún beneficio a la par que ofrecen mano de obra para levantar cosechas.,Gestión de gobierno
44,https://www.facebook.com/canal13sanjuantv/posts/pfbid0BBzjPqf1KPLuFxWya1fN6b13Hm2D1WLtFxiu8RB9MuXMLSgPQFqzsJbFzxZsPKuPl,Benditos Artistas Nuestros volvió a la pantalla de CANAL 13 de la mano del titiritero David Gardiol. En esta oportunidad una entrevista a fondo el reconocido artista plástico Hugo Vinzio. #canal13 #sanjuan,Entretenimiento
45,https://www.facebook.com/telesoldiario/posts/pfbid0hWPVNEHNqUbtqNG3cYSr6yX3zMGYwF7szt3Hn8NZgYLdgZpFzL5ybzfEE3XX54Ebl,"SANA DIVERSIÓN

La actividad se desarrollará desde el 9 al 23 de julio y contará con la presentación de cinco obras de títeres, a cargo de reconocidos elencos de diferentes provincias.",Entretenimiento
46,https://www.facebook.com/diariodecuyoweb/posts/pfbid02GcX8QJPmbHLv7yRFxpxMie2y3N2FhrbWA6gCzJipT5YyGNM28rCaDtGTHVaeYACnl,"[MUERTE DEL GEÓLOGO EN CALINGASTA]
Su nombre es Manuel Vargas. Creen que guiaba la camioneta a elevada velocidad.",Enfermedades y siniestros
47,https://www.facebook.com/RadioDelSur101.1/posts/pfbid02hwBGMn4xJgzhmDVQbZTKvfdpGepnsMjRyX2FF8AaoHTYVdoPFpDaRd3DJvR1yrSAl,"INDIGNACIÓN EN LOS VECINOS DE CAPITAL 💧🚰🪣🧹

Teléfono para OSSE: reparan un derrame cloacal y se vuelve a romper",Gestión de gobierno
48,https://www.facebook.com/canal13sanjuantv/posts/pfbid02qo2ABiLFKamh49Ucq4jBQJ9hCawevme9XskmX9VXonhjDR1KmuvgCYn2tK1ApS33l,Las tratativas con el organismo de crédito se dan en el medio del electoral a nivel nacional. Sergio Massa busca un cambio que le permita tener mayor “poder fe fuego” en el mercado cambiario. ¿Cuál es la fecha clave? #canal13 #sanjuan,Economía
49,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02r7uzr1YMmNynAZjw9ivYg7gAPwKFJX522q1Br1MS5kp7G8bkioUCX5Lew7eUo5Anl,"Bomba política: mirá qué Gobernador se lanzaría por la presidencia
El analista político y escritor Jorge ""Turco"" Asís, aseguró que en los próximos días un Gobernador peronista se anotará como precandidato presidencial.",Política
50,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid031ZvvKmALVBgvvvqQMXthKhRb37Nz4Qcw8khnCPHsvLRVe7k7xgfX4u2xLvnJnZFEl,"Jorge Capitanich rechazó el ""uso político"" del femicidio de Cecilia Strzyzowski
El gobernador de Chaco Jorge Capitanich aseguró que el femicidio de Cecilia Strzyzowski de generó ""un profundo dolor"" en el pueblo y pidió ""que los responsables paguen en la cárcel con todo el peso de la ley"".",Política
51,https://www.facebook.com/DiarioMovilOK/posts/pfbid02hJ3eCsTafBrxSiV5RPEqfNwNkNaF1zWBbV9G6ghB3aG2p4NX6WrdxMqx26p4NvS9l,"INCENDIO EN CASA DE UNA ABUELA 😔🔥🏠
Un cortocircuito en una estufa eléctrica comenzó un feroz incendio en una vivienda de Villa Marini, en Santa Lucía. La dueña del hogar es una mujer de 83 años que logró salir a tiempo. Las pérdidas fueron solamente materiales. ¡FUERZA ABUELA!",Enfermedades y siniestros
52,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02pVLZuGJRxW5rRsdyERRWkT7gWnJE7mDPEkQohxyipeDPgmv28wsuKq9ao6igRs1kl,"Sugerencia para este finde

Cómoda y con estilo, con este look único de Ana Arte

Lo clásico jamás pasa de moda, pero un giro con tendencia siempre marca la diferencia. Comodidad, estilo y diseño para este finde XXL junto a Ana Arte. Mirá.",Entretenimiento
53,https://www.facebook.com/canal13sanjuantv/posts/pfbid02D7iYXwrHcMyMLqYajBk43G4Jt3RNQB3d46Qrxh3C6TC3VkyQYaMoM5onMvEuk12Kl,El candidato a vicegobernador caminó junto al intendente electo Carlos Munisaga y otros dirigentes para escuchar los pedidos de los rawsinos. #canal13 #sanjuan,Política
54,https://www.facebook.com/DiarioHuarpe/posts/pfbid0tTSkwWRjTvfuC2Dck4VD27b3KjfaJUSMWVSyMzN2f6yihRS6aGvDzErGkWjyAS1Wl,Los números se desprenden de una tarea de estudio observacional realizada en puntos específicos de San Juan con el objetivo de conocer las irregularidades a la hora de conducir.,Seguridad
55,https://www.facebook.com/LaPoliticaSJ/posts/pfbid02CXrws7t9p8YKWR9CQyKRGLNk7xTyDWayx7zjeWPs8xpRQP9EBaUg6UCUjrPAqD4Hl,"Los sospechosos estarían en Paraguay y están investigados por ser ""partícipes secundarios"" del el ataque a la mutual judía que en 1994 dejó 85 víctimas.",Seguridad
56,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid023pz1ABk3xdKUxWhYAdHdoTRNJxJerd2AW8se8BpgypTcbtPVVQSxK83YefXL3jqWl,"Robaron una camioneta en Desamparados, la localizaron en Chimbas y el ladrón era un chico

Ocurrió en la siesta de este jueves en Desamparados. El ladrón era un adolescente que fue apresado arriba de la camioneta en Chimbas. Ya cayó preso otras veces.",Seguridad
57,https://www.facebook.com/RadioDelSur101.1/posts/pfbid0147qC7ZHkDzSFE3VCzQ1Yw9wdWNQ6z2PipnqwmRw7rcpT5smbk6XxAg7GaeVuFQml,"GRAN OPORTUNIDAD APRA POLÍTICOS Y EMPRESARIOS 👩‍🏫👨‍🏫👨‍🎓📖📖

Este jueves comienza el diplomado para funcionarios públicos",Política
58,https://www.facebook.com/DiarioMovilOK/posts/pfbid02ueaEnaGuh6RWTqaeJV54Nod4cUuVFEpQBwHiJM3ooYnNjwoeZg995r9Y4sDB8H4Sl,"""EL FEMINISIMO QUE ADMIRO"" 👏😊👏
La teniente Sofía Vier, cumplió dos años del primer vuelo en un A4 AR. Ella, es la primera piloto de caza de Argentina y con su historia de superación se convirtió en un orgullo para la patria. Miles de personas le demuestran admiración y aseguran que representa muy bien al género femenino. ¡APLAUSOS PARA SOFI!",Notas de interés
59,https://www.facebook.com/canal13sanjuantv/posts/pfbid0351Zp6EpMYWsioXzuuNC3RPbnpUAB9AVH11Q93GUe2T93TtPazMszoXdpXcwyLuk5l,"He-man, ThunderCats, Las Tortugas Ninjas, entre otros recuerdos de la infancia en forma de ‘muñecos’ llegaron a Canal 13. Un viaje en la máquina del tiempo para quienes vivieron la infancia entre los 80’ y los 90’. #canal13 #sanjuan",Notas de interés
60,https://www.facebook.com/diariodecuyoweb/posts/pfbid02hb5mvVCRUzFSyKtkdAurPeJ1tL8YZPVYqofBWo2ie74KJRWFua6RTRCZABGCTtLql,"[SEGUNDA JORNADA]
Además, en el medallero la lucha entre México y Canadá",Deportes
61,https://www.facebook.com/telesoldiario/posts/pfbid02mRSBK7qZeK7TSUoydAfuGkwJ5NghJrxiBM3DAvMK3imjgVfaPPdD6vUo5aeVES28l,"LA ALBICELESTE EN LA PIEL

El delantero de Manchester United hizo su estreno en el amistoso con Australia en Beijing. Horas después del triunfo expresó su satisfacción con un posteo en las redes sociales.",Deportes
62,https://www.facebook.com/canal13sanjuantv/posts/pfbid025oYZinTdpe8GUiFSbtEw37CKQpxSFApwjpUfWeEMgjPUB3qXC4GNfvfxQ27WfQtEl,"Benditos Artistas Nuestros volvió a la pantalla de CANAL 13 de la mano del titiritero David Gardiol. En esta oportunidad una entrevista a fondo con un artista que desde el perfil bajo encontró la forma de formar, informar y divertir. #canal13 #sanjuan",Entretenimiento
63,https://www.facebook.com/canal13sanjuantv/posts/pfbid0Sq6UyCV4Mf7DHBVnq3GZkSvS3oxWpwpAPgXgxCkKVmYfr5NUwcfcEGhznnDwE6kil,El gobernador confirmó que mantiene diálogo con las diferentes facciones en disputa de la conducción nacional dentro del frente. #canal13 #sanjuan,Política
64,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02dZNeA1hpcdiiMCpn5jRNwy7d9cLDPQZfnTE87GnFKxmFXstUXLXyqYd9j7vLPfgsl,"""Excelente persona"": la dolorosa despedida para ""Yohnny"", el motociclista que murió tras un choque en Pocito

Familiares, amigos, compañeros y vecinos del hombre de 30 años lamentaron su deceso a través de las redes sociales.",Enfermedades y siniestros
65,https://www.facebook.com/diariodecuyoweb/posts/pfbid02UJPRUG2symVQ7S1sZASikA1S5j7aSco15tVNk1YbL1fy17SrziANT75RQz1LSnJnl,"[NUEVA MEDIDA]
El organismo recaudador elevó el piso de operaciones a partir de los cuales se aplica el IVA y Ganancias y fijó un mecanismo de actualización automática.",Gestión de gobierno
66,https://www.facebook.com/canal13sanjuantv/posts/pfbid0PXeeuvS8vfpC8RKd2TR4TCPAfWpvxE5k7brPZfwbspaZptWqE5s3t8y3FY6E3kddl,"En esta ocasión, el candidato a la vicegobernación por la Subagrupación ""Cambia San Juan"", dialogó con Canal 13 y contó sus acciones como candidato. #canal13 #sanjuan",Política
67,https://www.facebook.com/DiarioMovilOK/posts/pfbid02yx1kQmQZBeQkagkrwiVyxyQn4VdLwEVpoXeL7CVn99iAm11q5CaEhipMZ8mgfxjl,"UN PADRE EJEMPLAR 👏😍👏
El hombre padece Síndrome de Down pero eso no le impidió poder trabajar en una fábrica hasta que logró convertir a su hijo en médico. Lo hizo todo por él y el joven se lo agradecerá de por vida. Su historia emociona y contagia superación a las personas. ¡POR MÁS PERSONAS COMO ÉL!",Notas de interés
68,https://www.facebook.com/DiarioHuarpe/posts/pfbid04RiMo6HeTF32iH28nDZtsCeGNJxnbnTX42s8fuP1zga5QtzVobp7PNaMieoffVu5l,Los operarios de la fábrica Taranto en San Juan aseguran que no son escuchados por la empresa y advierten que podrían parar la producción.,Economía
69,https://www.facebook.com/canal13sanjuantv/posts/pfbid02Njta3nJQWNeJ2iAct6A2s5N8VNpyWzo2UrdQPGzCnL5psiyaC7rHXLb4Fuu1qJLsl,"El candidato a vicegobernador de la Subagrupación ""Cambia San Juan"", Fabián Martín, anunció cuales son sus percepciones con respecto a las elecciones nacionales 2023. #canal13 #sanjuan",Política
70,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid0qscFjSvwk3uBvk3curB5M3rTpfS7E7foKw84rJ7on7ocmLpW6maH1CScEQ4noSu6l,"Ex candidato de Javier Milei lo trató de ""pelotudo y ladrón""
El dirigente, de pobre performance en la pelea por la gobernación de su provincia, lapidó a Javier Milei.",Política
71,https://www.facebook.com/canal13sanjuantv/posts/pfbid0oP1nu7fLabcndfyvyMQmVu8K8Y8gF2UaSE4CzpELUey5vc7QePtHRaa9WmnMTCrUl,La nueva flota de Ambiente tuvo un costo de 167 millones de peros. Un 40% fue pagado con las ganancias de la venta de reciclaje. #canal13 #sanjuan,Gestión de gobierno
72,https://www.facebook.com/RadioDelSur101.1/posts/pfbid0Ygr7STppg3aaYBaAT3UXNeXrP7ZfV7f2Z6k3QWDWRboAhcuKeD466KiQJYTW8WCGl,🚫 ENTERATE DE LOS DETALLES,Seguridad
73,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02FvSUuvQUt1CM1YGTXNnvQHr7SdJt7w9KGSTNHam1rgUXdDpMp7LvSsbsvSV8hDoql,"LA CARRERA CONTRARRELOJ QUE LE CAMBIÓ LA VIDA A CRISTIAN ANDINO Y POR QUÉ EL 4 ES SU NÚMERO MÁGICO 

Su infancia se repartió entre Angaco y San Martín. Trabajó en la uva para pagarse la facultad. Se recibió de Contador Público, entró a trabajar en ANSES pero eligió cambiar de rumbo y arrancó en la política. A los 26 años fue electo concejal tras hacer campaña en Ford Sierra del '86.",Política
74,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid0zxYhmKXX8KERSfKp8JQELVrgx5KhimM4CyDWBLSnBm2v9jJ2zNP3GxETHiWHBujwl,"Majo Quiroga y cómo la pérdida de su abuela la animó al cambio más radical de su vida

La deportista albardonera, que viaja por el mundo con el ciclismo, contó detalles de su nueva vida en San Juan.",Deportes
75,https://www.facebook.com/canal13sanjuantv/posts/pfbid02eJcxK2wUQfsSRuf89MzGUVpNaYfVgEya4tR6fYn3Cxkebk6YodYxwJhvegT8C2Cjl,El Gobernador y la intendenta dejaron habilitados estas obras que beneficia a los 2130 habitantes del Barrio Áreas II. #canal13 #sanjuan,Política
76,https://www.facebook.com/DiarioMovilOK/posts/pfbid0371mPPsrZL75ZncjK2vFNzZLe33Gg1Adf1VEkncos5tCoKu3fuYXUyPXGewCs1zXLl,"#EMOCION ""PAPÁ ME RECONOCIÓ"" ❤️🥹❤️
El hombre con alzheimer pintaba un lienzo cuando su hija le preguntó por su dibujo sin imaginar que, segundos después, él la reconocería. Él mismo se percató del vestido blanco que llevaba la joven minutos antes de ir al altar. ¡EMOCIÓN TOTAL!",Notas de interés
77,https://www.facebook.com/DiarioHuarpe/posts/pfbid02nFADbgf5LmYQpzCXyBf2jms4fm4QVHCmRPkSbrbph6Urehh9rmsaikFFTZXPmibpl,La mitad de los encuestados admitió que alguna vez revisó el celular a su pareja. La confrontación puede terminar en abusos verbales.,Notas de interés
78,https://www.facebook.com/diariodecuyoweb/posts/pfbid02bDxFUhqHS7DZRCF6VGT64WTSThSwGSKukLPBB9hT6b5HWjRefctk8sq9XAtJ1ZJWl,"[DECLARACIONES]
El embajador de Brasil se hizo eco del comunicado emitido ayer por el PJ Bonaerense, en el cual se habla de “victimización” y se lo identifica con el espacio del presidente Alberto Fernández.",Política
79,https://www.facebook.com/tiempodesanjuanweb/posts/pfbid02deqKruoTC33SJmRkgLF5D8ZGPWr165k8Hjvt8T58nRJFpmoEhEGpD2MMdXcdeHpAl,"Se cumplen cuatro años de la muerte de Beatriz Salomón: el mensaje de su hija

La famosa sanjuanina falleció el 15 de junio de 2019, tras batallar contra el cáncer de colon. ""No sabés cuánto te extraño y te necesito"", publicó su hija Noelia Ferriols.",Enfermedades y siniestros
